1;7.980997000000000e-01, 7.978892634353182e-01; 
6.810269000000000e-01, 6.828330660333377e-01; 
6.797780000000000e-01, 6.789751393520203e-01; 
6.950099000000000e-01, 7.112088020498909e-01;
6.775241000000000e-01, 6.754762458839993e-01;

2;6.778394000000000e-01, 6.782594789014542e-01;
5.694534000000000e+02, 5.988474287780728e+02;
5.831884000000001e-01, 5.653842637849241e-01;
5.840169000000000e+02, 5.831873212844998e+02;
1.262371000000000e+00, 1.255341312433218e+00;

3;1.290310000000000e+02, 2.307508471969129e+02;
4.519718000000000e-01, 4.418395492012465e-01;
3.626589000000000e-01, 3.622482781616000e-01;
2.285109000000000e+03, 2.439127176523485e+03;
2.872729000000000e+00, 2.838073372562297e+00

4;9.690827000000001e-03, 9.627933921613076e-03;
2.349723000000000e-03, 2.346157067602129e-03;
8.159497999999999e-01, 8.081525812802708e-01;
4.008977000000000e-02, 4.001629870481065e-02;
2.939417000000000e+00, 2.771365082565747e+00;

5;2.367577000000000e-03, 2.365514163625025e-03;
2.422479000000000e+02, 2.390225829542270e+02;
1.142230000000000e-03, 1.139356374435890e-03;
5.546901000000000e-05, 5.528743773041790e-05;
4.322307000000000e-01, 4.315089734653139e-01;

6;1.808126000000000e-03, 1.803842679927906e-03;
2.466380000000000e-02, 2.460069733165705e-02;
6.639215000000001e-01, 6.631641082617117e-01;
6.204813000000000e-01, 6.207502170920509e-01;
3.768942000000000e-03, 3.767157834084115e-03;
1.059879000000000e-03, 1.057895997902856e-03;

7;3.656511000000000e-03, 3.645833670947811e-03;
3.922151000000000e-03, 3.910612155769204e-03;
1.036495000000000e+00, 1.061577625354228e+00;
3.221801000000000e-03, 3.213597578418425e-03;
1.110318000000000e-01, 1.108433741117380e-01;

8;2.053529000000000e-01, 2.018047271435880e-01;
1.327819000000000e-02, 1.322294160298365e-02;
1.252083000000000e-03, 1.249185740185003e-03;
7.786421000000000e-01, 6.177913799581536e-01;
4.358951000000000e-02, 4.350995285044242e-02;

9;6.494138000000000e-04, 6.491012491605243e-04;
8.110717000000001e-02, 8.088163454553626e-02;
1.286733000000000e-03, 1.285829478870809e-03;
1.429456000000000e+01, 1.516449750631331e+01;
1.550139000000000e-02, 1.539830555576451e-02;

10;9.454307000000001e-02, 9.442080493622962e-02;
1.480301000000000e-03, 1.475568116874251e-03;
1.084600000000000e-03, 1.082615499793458e-03;
2.838315000000000e-01, 2.869556491057211e-01;
8.929021000000001e-03, 8.921685433408353e-03;



